order_id,customer_id,order_date,status,total_amount,source_system,last_updated
1,109,"November 18, 2023",Delivered,116.66,,2023-11-20T16:00:00.000000Z
2,117,"October 25, 2023",unknwon,380.11,,1698350400
3,117,18-05-2024,returned,1131.29,new_api,05/18/2024 04:00 AM
4,120,03/23/2023,Pending,376.88,legacy_db,2023-03-24T05:00:00.000000Z
5,101,23-11-2024,failed,733.51,legacy_db,2024-11-23T16:00:00.000000Z
6,117,"May 02, 2024",completed,1795.62,new_api,2024-05-03 08:00:00
7,119,"September 19, 2024","",89.13,legacy_db,2024-09-19 15:00:00
8,112,"July 08, 2024","",811.07,"",2024-07-09T06:00:00.000000Z
9,120,20240531,COMPLETED,2775.83,"",2024-06-01 21:00:00
10,107,20241029,COMPLETED,2773.03,mobile_app,2024-10-30T16:00:00.000000Z
11,112,"February 01, 2024",COMPLETED,41.07,new_api,02/03/2024 02:00 PM
12,107,"March 22, 2024",completed,1438.49,web_portal,1711152000
13,118,20240720,pending,797.36,,1721656800
14,101,01/05/2023,Completed,1919.16,mobile_app,2023-01-05T17:00:00.000000Z
15,103,,Refunded,2096.62,legacy_db,2024-02-06 15:00:00
16,118,"March 22, 2024",COMPLETED,550.68,mobile_app,2024-03-23 18:00:00
17,108,31-05-2024,COMPLETED,2210.54,web_portal,2024-05-31T03:00:00.000000Z
18,111,"June 19, 2024",Delivered,1894.5,web_portal,06/21/2024 11:00 AM
19,102,04/30/2024,returned,1206.6,"",2024-05-01T23:00:00.000000Z
20,118,2024-13-45,Completed,1037.34,legacy_db,2024-06-30 17:00:00
21,119,09/16/2023,processing,780.32,mobile_app,2023-09-16T02:00:00.000000Z
22,115,15-04-2024,,2927.17,legacy_db,2024-04-17T15:00:00.000000Z
,107,10/02/2023,Refunded,550.46,web_portal,2023-10-02T17:00:00.000000Z
24,109,12/28/2023,refunded,2206.1,,2023-12-29 04:00:00
25,117,2025-06-15,Cancelled,2108.49,"",2024-05-07T04:00:00.000000Z
26,120,06-03-2023,Shipped,2934.96,,1678158000
27,102,"January 15, 2024",completed,446.75,new_api,01/16/2024 04:00 AM
28,116,20230223,Canceled,2274.38,"",1677254400
29,108,01-12-2024,pending,1536.55,legacy_db,2024-12-02 16:00:00
30,114,,complete,,"",1701525600
31,110,2023-08-09,Canceled,1413.96,web_portal,2023-08-09T08:00:00.000000Z
32,101,2024-02-15,Processing,294.1,new_api,2024-02-15T02:00:00.000000Z
33,116,2024-10-10,returned,1340.44,"",2024-10-11T11:00:00.000000Z
34,113,2024-11-13,,978.32,web_portal,2024-11-15 04:00:00
35,108,10/04/2024,Refunded,232.25,"",
36,113,"December 05, 2023",delivered,2906.01,mobile_app,12/05/2023 03:00 AM
37,112,06/12/2024,PENDING,1255.37,legacy_db,1718323200
38,114,2023-08-12,"",555.63,mobile_app,08/12/2023 01:00 PM
39,113,"November 20, 2023",Processing,2818.53,"",2023-11-22T04:00:00.000000Z
40,110,2024-13-45,Canceled,-400.3985946148737,web_portal,10/24/2023 05:00 AM
41,120,09/02/2023,"",1865.65,legacy_db,09/04/2023 04:00 AM
42,101,11/04/2023,unknwon,2831.13,mobile_app,2023-11-06 10:00:00
43,119,11/09/2024,refunded,469.57,web_portal,1731200400
44,110,07/27/2024,failed,1361.75,legacy_db,2024-07-29 16:00:00
45,113,,COMPLETED,2901.9,"",1693699200
46,110,04/13/2023,canceled,839.96,new_api,04/15/2023 08:00 AM
47,117,20240603,cancelled,2471.72,web_portal,06/05/2024 11:00 AM
48,113,11/25/2024,"",2246.27,web_portal,1732575600
49,117,07/29/2023,delivered,57.87,"",1690765200
50,110,2025-06-15,delivered,0.0,,2024-05-11T11:00:00.000000Z
51,112,19-02-2023,PENDING,1733.57,"",2023-02-20T08:00:00.000000Z
52,109,20231012,Pending,466.36,"",2023-10-12T08:00:00.000000Z
53,104,18-03-2023,processing,925.78,mobile_app,2023-03-20 06:00:00
54,142,2024-07-10,shipped,1534.93,mobile_app,07/12/2024 04:00 AM
55,140,"September 13, 2024",Shipped,2715.88,web_portal,1726196400
56,114,03/07/2024,Pending,585.54,mobile_app,03/09/2024 03:00 PM
57,115,06/29/2023,pending,1074.87,legacy_db,1688097600
58,133,25-10-2024,Cancelled,1914.25,legacy_db,2024-10-27T01:00:00.000000Z
59,136,2023-01-30,delivered,2016.35,web_portal,2023-01-31 23:00:00
60,135,,"",,,2024-10-30 02:00:00
61,113,2024-08-07,pending,2086.19,legacy_db,08/09/2024 09:00 AM
